Víctimas por año Corte AGOSTO DE 2024

FECHA_CORTE,NOM_RPT,VIGENCIA,SEXO,ETNIA,DISCAPACIDAD,CICLO_VITAL,PER_OCU,EVENTOS
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1985","Hombre","Afrocolombiano (Acreditado RA)","Fisica","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Auditiva","entre 60 y 110","1","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Fisica","entre 29 y 59","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Fisica","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Multiple","entre 60 y 110","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Ninguna","entre 12 y 17","6","8",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Ninguna","entre 18 y 28","28","29",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Ninguna","entre 29 y 59","59","68",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Ninguna","entre 60 y 110","35","42",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Por Establecer","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Por Establecer","entre 60 y 110","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Hombre","Raizal del Archipielago de San Andres y Providencia","Visual","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Intersexual","Negro(a) o Afrocolombiano(a)","Ninguna","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Intersexual","Ninguna","Ninguna","entre 0 y 5","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Intersexual","Ninguna","Ninguna","entre 18 y 28","6","6",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Intersexual","Ninguna","Ninguna","entre 29 y 59","6","6",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Afrocolombiano (Acreditado RA)","Ninguna","entre 29 y 59","2","5",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Indigena","Ninguna","entre 29 y 59","3","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Indigena (Acreditado RA)","Ninguna","entre 6 y 11","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Indigena (Acreditado RA)","Ninguna","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Indigena (Acreditado RA)","Ninguna","entre 60 y 110","3","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Negro(a) o Afrocolombiano(a)","Ninguna","entre 18 y 28","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Negro(a) o Afrocolombiano(a)","Ninguna","entre 29 y 59","9","10",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Negro(a) o Afrocolombiano(a)","Ninguna","entre 60 y 110","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Negro(a) o Afrocolombiano(a)","Psicosocial (Mental)","entre 29 y 59","1","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Fisica","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Fisica","entre 60 y 110","1","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Intelectual","entre 29 y 59","2","7",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Multiple","entre 29 y 59","4","10",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Ninguna","entre 0 y 5","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Ninguna","entre 6 y 11","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Ninguna","entre 12 y 17","3","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Ninguna","entre 18 y 28","22","23",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Ninguna","entre 29 y 59","95","111",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Ninguna","entre 60 y 110","13","15",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Psicosocial (Mental)","entre 29 y 59","2","6",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Visual","entre 18 y 28","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","LGBTI","Ninguna","Visual","entre 29 y 59","2","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Auditiva","entre 29 y 59","4","5",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Fisica","entre 12 y 17","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Fisica","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Fisica","entre 60 y 110","5","6",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Fisica","entre 29 y 59","3","5",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Intelectual","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Multiple","entre 12 y 17","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Multiple","entre 60 y 110","4","5",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Ninguna","entre 6 y 11","11","11",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Ninguna","entre 12 y 17","45","48",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Ninguna","entre 18 y 28","240","249",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Ninguna","entre 29 y 59","331","371",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Ninguna","entre 60 y 110","61","74",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Por Establecer","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Por Establecer","entre 60 y 110","3","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Por Establecer","entre 29 y 59","7","7",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Visual","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Visual","entre 29 y 59","2","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Afrocolombiano (Acreditado RA)","Visual","entre 60 y 110","3","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano (RROM) (Acreditado RA)","Fisica","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano (RROM) (Acreditado RA)","Ninguna","entre 12 y 17","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano (RROM) (Acreditado RA)","Ninguna","entre 18 y 28","4","5",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano (RROM) (Acreditado RA)","Ninguna","entre 29 y 59","4","6",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano (RROM) (Acreditado RA)","Ninguna","entre 60 y 110","6","7",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano (RROM) (Acreditado RA)","Visual","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Fisica","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Multiple","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Ninguna","entre 12 y 17","4","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Ninguna","entre 18 y 28","17","17",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Ninguna","entre 60 y 110","15","15",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Ninguna","entre 29 y 59","44","45",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Gitano(a) ROM","Visual","entre 29 y 59","1","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Auditiva","entre 12 y 17","2","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Auditiva","entre 18 y 28","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Auditiva","entre 29 y 59","7","8",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Auditiva","entre 60 y 110","5","8",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Fisica","entre 18 y 28","4","4",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Fisica","entre 29 y 59","18","25",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Fisica","entre 60 y 110","23","28",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Intelectual","entre 60 y 110","3","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Intelectual","entre 29 y 59","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Multiple","entre 18 y 28","3","3",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Multiple","entre 29 y 59","8","9",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Multiple","entre 60 y 110","19","22",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","entre 0 y 5","32","32",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","entre 6 y 11","93","93",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","entre 12 y 17","225","236",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","entre 18 y 28","596","647",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","entre 29 y 59","1207","1439",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","ND","6","6",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Ninguna","entre 60 y 110","416","500",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Por Establecer","entre 6 y 11","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Por Establecer","entre 12 y 17","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Por Establecer","entre 18 y 28","6","7",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Por Establecer","entre 29 y 59","13","15",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Por Establecer","entre 60 y 110","22","26",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Psicosocial (Mental)","entre 18 y 28","1","2",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Psicosocial (Mental)","entre 60 y 110","1","1",
"31/08/2024 12:00:00 a. m.","REPORTE VICTIMAS ANUALIZADO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia y Eventos)","1998","Mujer","Indigena","Visual","entre 18 y 28","2","2",
